Temperature,IceCreamSales
10.0,155
10.0,115
10.0,172
10.0,126
10.0,101
10.0,123
10.0,167
10.1,122
10.1,147
10.1,136
10.1,165
10.1,152
10.1,127
10.1,143
10.1,133
10.1,119
10.1,115
10.1,155
10.1,154
10.1,148
10.2,124
10.2,139
10.2,127
10.2,109
10.2,203
10.2,123
10.2,115
10.2,126
10.2,131
10.2,129
10.3,143
10.3,107
10.3,104
10.3,129
10.3,140
10.3,142
10.3,113
10.3,123
10.3,134
10.3,144
10.3,106
10.3,152
10.3,116
10.3,114
10.3,129
10.3,145
10.4,157
10.4,83
10.4,121
10.4,99
10.4,168
10.4,146
10.4,96
10.4,147
10.4,150
10.4,123
10.4,204
10.4,105
10.4,160
10.5,143
10.5,129
10.5,127
10.5,179
10.5,153
10.5,76
10.5,130
10.5,134
10.5,167
10.5,191
10.5,190
10.5,138
10.5,137
10.5,129
10.5,98
10.5,153
10.5,169
10.6,149
10.6,145
10.6,112
10.6,139
10.6,178
10.6,161
10.6,187
10.6,124
10.6,183
10.6,155
10.7,130
10.7,144
10.7,137
10.7,135
10.7,113
10.7,136
10.7,132
10.7,142
10.7,162
10.7,155
10.7,148
10.7,167
10.7,128
10.7,161
10.8,189
10.8,147
10.8,152
10.8,126
10.8,166
10.8,174
10.8,145
10.8,145
10.8,123
10.8,203
10.8,140
10.8,160
10.8,120
10.8,148
10.9,146
10.9,135
10.9,144
10.9,124
10.9,154
10.9,124
10.9,159
10.9,174
10.9,153
10.9,167
10.9,149
10.9,126
10.9,220
10.9,127
10.9,160
10.9,144
11.0,156
11.0,166
11.0,163
11.0,160
11.0,182
11.0,140
11.0,175
11.0,135
11.0,153
11.0,205
11.0,153
11.0,171
11.1,169
11.1,143
11.1,128
11.1,131
11.1,204
11.1,129
11.1,190
11.1,171
11.1,98
11.1,126
11.1,151
11.1,174
11.1,158
11.1,155
11.1,144
11.2,185
11.2,145
11.2,159
11.2,175
11.2,172
11.2,187
11.2,181
11.2,166
11.2,184
11.3,206
11.3,149
11.3,123
11.3,154
11.3,173
11.3,159
11.3,189
11.3,155
11.3,173
11.4,136
11.4,173
11.4,156
11.4,218
11.4,143
11.4,158
11.4,171
11.4,179
11.4,171
11.4,184
11.5,140
11.5,191
11.5,140
11.5,222
11.5,178
11.5,156
11.5,177
11.5,206
11.5,118
11.5,171
11.5,153
11.6,132
11.6,146
11.6,189
11.6,163
11.6,183
11.6,147
11.6,165
11.6,245
11.6,195
11.6,178
11.6,182
11.6,157
11.6,123
11.6,180
11.6,185
11.6,179
11.6,169
11.6,160
11.6,181
11.7,179
11.7,180
11.7,187
11.7,156
11.7,170
11.7,141
11.7,144
11.7,155
11.7,191
11.7,161
11.8,205
11.8,139
11.8,169
11.8,166
11.8,173
11.8,142
11.8,171
11.8,225
11.8,201
11.8,191
11.9,185
11.9,197
11.9,193
11.9,180
11.9,170
12.0,213
12.0,196
12.0,222
12.0,155
12.0,173
12.0,171
12.0,162
12.0,167
12.0,217
12.0,157
12.0,150
12.0,211
12.0,148
12.0,182
12.0,191
12.0,173
12.0,191
12.0,199
12.0,200
12.0,163
12.0,178
12.0,209
12.0,161
12.0,187
12.0,201
12.0,201
12.1,214
12.1,177
12.1,99
12.1,179
12.1,199
12.1,248
12.1,188
12.1,151
12.1,183
12.1,182
12.2,225
12.2,229
12.2,183
12.2,196
12.2,235
12.2,159
12.2,190
12.2,156
12.2,225
12.2,155
12.2,157
12.2,189
12.2,181
12.2,210
12.3,171
12.3,166
12.3,227
12.3,211
12.3,182
12.3,246
12.3,251
12.3,182
12.3,170
12.3,193
12.3,198
12.3,188
12.3,181
12.3,269
12.4,226
12.4,219
12.4,228
12.4,244
12.4,193
12.4,182
12.4,199
12.4,208
12.4,183
12.4,184
12.4,186
12.4,187
12.4,172
12.5,225
12.5,235
12.5,230
12.5,182
12.5,168
12.5,215
12.5,210
12.5,208
12.5,213
12.5,206
12.5,221
12.6,193
12.6,210
12.6,193
