HoursStudied,ExamMarks
0.30,6.29
0.30,7.57
0.30,9.41
0.30,4.87
0.30,7.48
0.30,4.49
0.30,4.58
0.30,6.5
0.30,5.66
0.31,8.25
0.31,3.23
0.31,6.81
0.31,5.18
0.32,5.22
0.32,4.78
0.32,6.74
0.32,5.35
0.32,2.75
0.32,5.8
0.32,6.08
0.32,6.66
0.32,4.66
0.32,7.95
0.32,5.69
0.32,7.84
0.32,1.34
0.33,10.46
0.33,7.46
0.33,3.67
0.33,8.79
0.33,5.53
0.33,6.56
0.33,4.74
0.33,4.84
0.33,6.79
0.33,4.05
0.33,4.53
0.33,7.25
0.34,7.7
0.34,8.17
0.34,6.65
0.34,1.87
0.34,4.78
0.34,5.54
0.34,3.69
0.34,7.49
0.34,3.74
0.35,3.25
0.35,4.91
0.35,6.47
0.35,6.62
0.35,3.46
0.35,8.04
0.35,7.11
0.35,7.71
0.35,10.46
0.35,4.9
0.35,5.04
0.35,5.56
0.35,9.52
0.36,7.09
0.36,7.32
0.36,4.27
0.36,6.09
0.36,7.12
0.36,7.44
0.36,5.4
0.36,8.85
0.36,6.33
0.37,7.63
0.37,6.11
0.37,3.87
0.37,7.89
0.37,7.15
0.37,5.17
0.37,5.22
0.37,10.0
0.37,7.36
0.37,7.75
0.38,7.59
0.38,4.88
0.38,4.69
0.38,3.39
0.38,8.48
0.38,8.09
0.38,4.85
0.38,7.63
0.38,8.16
0.38,6.78
0.38,8.36
0.39,4.99
0.39,6.34
0.39,7.46
0.39,5.71
0.39,3.79
0.39,7.07
0.39,5.96
0.39,6.71
0.40,7.61
0.40,6.26
0.40,6.84
0.40,3.1
0.40,5.14
0.40,1.59
0.40,6.45
0.41,4.85
0.41,5.85
0.41,6.52
0.41,7.4
0.41,5.29
0.41,8.77
0.41,6.1
0.42,4.05
0.42,7.91
0.42,7.09
0.42,6.41
0.42,7.51
0.42,6.98
0.42,5.58
0.42,4.12
0.42,5.21
0.43,5.26
0.43,4.73
0.43,9.5
0.43,7.13
0.43,6.51
0.43,6.72
0.43,8.9
0.43,5.86
0.44,4.41
0.44,3.78
0.44,6.7
0.44,5.03
0.44,6.52
0.44,6.43
0.44,8.51
0.44,5.33
0.44,6.91
0.44,3.37
0.45,11.82
0.45,8.33
0.45,2.85
0.45,5.35
0.45,9.57
0.45,7.53
0.45,3.14
0.45,7.16
0.45,7.63
0.46,8.74
0.46,7.16
0.46,9.47
0.46,4.07
0.46,5.98
0.46,5.72
0.47,3.65
0.47,7.53
0.47,6.44
0.47,8.03
0.47,5.56
0.47,7.4
0.47,3.33
0.47,5.64
0.47,5.36
0.47,4.74
0.47,5.11
0.47,11.68
0.47,6.15
0.47,6.07
0.47,9.03
0.47,8.32
0.48,6.19
0.48,6.51
0.48,7.86
0.48,6.8
0.48,7.32
0.48,6.9
0.48,7.58
0.48,11.41
0.48,8.92
0.48,6.76
0.48,2.4
0.48,4.35
0.48,5.89
0.49,7.28
0.49,6.58
0.49,4.22
0.49,6.57
0.49,5.6
0.49,6.62
0.49,9.68
0.49,5.96
0.49,9.53
0.49,4.07
0.50,7.79
0.50,7.1
0.50,6.33
0.51,7.59
0.51,7.68
0.51,5.51
0.51,8.02
0.51,6.77
0.51,8.53
0.51,5.02
0.51,5.67
0.51,7.86
0.52,8.19
0.52,5.27
0.52,7.92
0.52,8.67
0.52,8.25
0.52,5.07
0.52,6.01
0.52,9.78
0.52,10.6
0.52,9.05
0.52,8.79
0.53,9.66
0.53,10.73
0.53,3.95
0.53,9.25
0.53,5.97
0.53,8.85
0.53,6.34
0.53,6.36
0.54,4.89
0.54,9.79
0.54,5.9
0.54,6.46
0.54,5.2
0.54,5.58
0.54,4.64
0.55,6.84
0.55,8.37
0.55,6.05
0.55,6.43
0.55,8.83
0.55,6.28
0.55,5.84
0.55,5.67
0.55,4.88
0.55,7.02
0.56,9.92
0.56,7.04
0.56,4.58
0.56,7.13
0.56,5.56
0.56,6.2
0.56,6.92
0.56,6.74
0.56,7.92
0.56,3.42
0.56,6.02
0.56,5.7
0.57,4.66
0.57,8.3
0.57,8.31
0.57,7.27
0.57,3.68
0.57,5.3
0.57,2.41
0.57,4.5
0.58,3.17
0.58,4.08
0.58,5.89
0.58,10.24
0.58,11.1
0.58,6.95
0.58,5.12
0.58,4.95
0.58,5.17
0.58,8.86
0.58,6.02
0.58,9.15
0.58,4.65
0.58,5.66
0.58,8.46
0.59,5.73
0.59,9.33
0.59,8.12
0.59,7.14
0.59,7.65
0.59,4.98
0.59,9.18
0.59,6.42
1.00,7.85
1.00,8.37
1.00,8.03
1.00,7.11
1.00,5.16
1.00,6.38
1.00,9.39
1.01,4.73
1.01,8.01
1.01,4.15
1.01,6.91
1.01,5.74
1.01,7.51
1.01,9.19
1.01,5.01
1.01,8.45
1.02,5.28
1.02,8.78
1.02,3.81
1.02,4.01
1.02,10.24
1.02,10.02
1.02,7.86
1.02,4.39
1.02,8.96
1.02,5.25
1.02,4.74
1.02,5.63
1.02,8.42
1.02,8.03
1.02,5.63
1.03,11.26
1.03,6.75
1.03,7.72
1.03,5.65
1.03,7.75
1.03,7.52
1.03,7.84
1.03,6.23
1.03,8.38
1.03,8.34
1.03,11.87
1.03,6.87
1.04,4.58
1.04,4.66
1.04,9.68
1.04,7.61
1.05,5.75
1.05,3.79
1.05,7.17
1.05,5.85
1.05,6.65
1.06,7.67
1.06,7.63
1.06,7.42
1.06,6.76
1.06,5.5
1.06,6.19
1.06,8.31
1.06,6.13
1.07,9.12
1.07,11.7
1.07,9.28
1.07,4.58
1.07,7.18
1.07,5.72
1.08,11.14
1.08,6.23
1.08,9.88
1.08,5.9
1.08,7.73
1.08,9.09
1.08,4.59
1.08,9.0
1.08,8.45
